Circuit,Solver,Wire_ID,Time_Sec,Status,Method
c2670.aag,glucose4,905,0.000001,SAT,SIMULATION
c2670.aag,glucose4,906,0.000001,SAT,SIMULATION
c2670.aag,glucose4,843,0.000001,SAT,SIMULATION
c2670.aag,glucose4,850,0.000001,SAT,SIMULATION
c2670.aag,glucose4,907,0.000001,SAT,SIMULATION
c2670.aag,glucose4,881,0.000001,SAT,SIMULATION
c2670.aag,glucose4,854,0.000001,SAT,SIMULATION
c2670.aag,glucose4,725,0.000001,SAT,SIMULATION
c2670.aag,glucose4,739,0.000001,SAT,SIMULATION
c2670.aag,glucose4,401,0.000001,SAT,SIMULATION
c2670.aag,glucose4,696,0.000001,SAT,SIMULATION
c2670.aag,glucose4,459,0.000001,SAT,SIMULATION
c2670.aag,glucose4,908,0.000001,SAT,SIMULATION
c2670.aag,glucose4,867,0.000001,SAT,SIMULATION
c2670.aag,glucose4,909,0.000001,SAT,SIMULATION
c2670.aag,glucose4,718,0.000001,SAT,SIMULATION
c2670.aag,glucose4,847,0.000001,SAT,SIMULATION
c2670.aag,glucose4,228,0.000001,SAT,SIMULATION
c2670.aag,glucose4,910,0.000001,SAT,SIMULATION
c2670.aag,glucose4,911,0.000001,SAT,SIMULATION
c2670.aag,glucose4,852,0.000001,SAT,SIMULATION
c2670.aag,glucose4,912,0.000001,SAT,SIMULATION
c2670.aag,glucose4,913,0.000001,SAT,SIMULATION
c2670.aag,glucose4,715,0.000001,SAT,SIMULATION
c2670.aag,glucose4,883,0.000001,SAT,SIMULATION
c2670.aag,glucose4,914,0.000001,SAT,SIMULATION
c2670.aag,glucose4,915,0.000001,SAT,SIMULATION
c2670.aag,glucose4,745,0.000001,SAT,SIMULATION
c2670.aag,glucose4,708,0.000001,SAT,SIMULATION
c2670.aag,glucose4,603,0.000001,SAT,SIMULATION
c2670.aag,glucose4,689,0.000001,SAT,SIMULATION
c2670.aag,glucose4,916,0.000001,SAT,SIMULATION
c2670.aag,glucose4,397,0.000004,UNSAT (REDUNDANT),PYSAT
c2670.aag,glucose4,460,0.000001,SAT,SIMULATION
c2670.aag,glucose4,551,0.000001,SAT,SIMULATION
c2670.aag,glucose4,729,0.000001,SAT,SIMULATION
